Year;Date;Home_Team;Away_Team;Home_Score;Away_Score;Shootout;Tournament;City;Country;Neutral_Venue;WinningTeam;first_shooter;Losing_Team
1976;06/06/1976;Iraq;Yemen DPR;1.0;0.0;FALSE;AFC Asian Cup;Tehran;Iran;TRUE;Iraq;;Yemen DPR
1976;07/06/1976;China PR;Kuwait;0.0;1.0;FALSE;AFC Asian Cup;Tehran;Iran;TRUE;Kuwait;;China PR
1976;08/06/1976;Iran;Yemen DPR;8.0;0.0;FALSE;AFC Asian Cup;Tehran;Iran;FALSE;Iran;;Yemen DPR
1976;11/06/1976;Iran;China PR;2.0;0.0;FALSE;AFC Asian Cup;Tehran;Iran;FALSE;Iran;;China PR
1976;11/06/1976;Iraq;Kuwait;2.0;3.0;FALSE;AFC Asian Cup;Tehran;Iran;TRUE;Kuwait;;Iraq
1976;13/06/1976;China PR;Iraq;1.0;0.0;FALSE;AFC Asian Cup;Tehran;Iran;TRUE;China PR;;Iraq
1976;13/06/1976;Iran;Kuwait;1.0;0.0;FALSE;AFC Asian Cup;Tehran;Iran;FALSE;Iran;;Kuwait
1980;15/09/1980;Kuwait;United Arab Emirates;1.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;FALSE;Draw;;Draw
1980;16/09/1980;North Korea;Bangladesh;3.0;2.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;North Korea;;Bangladesh
1980;16/09/1980;Malaysia;South Korea;1.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Draw;;Draw
1980;17/09/1980;Iran;Syria;0.0;0.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Draw;;Draw
1980;17/09/1980;Qatar;United Arab Emirates;2.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Qatar;;United Arab Emirates
1980;18/09/1980;North Korea;China PR;2.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;North Korea;;China PR
1980;18/09/1980;Kuwait;Malaysia;3.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;FALSE;Kuwait;;Malaysia
